Substructure	SMARTS	new_index	Index   	Acid_or_base
68	[c:0]:[nX2:1]:[c:2]	1	1	B
69	[c:0]:[nX2:1]:[nX3:2]:[c:3]=[OX1:4]	1	1	B
70	[CX4:0]-[NX3:1](-[H:2])-[CX4:3]	1	1	B
71	[C:0](=[O:1])-[N:2](-[H:3])-[NX3:4](-[H:5])(-[H:6])	4	4	B
72	[c:0]:[nX2:1]:[n:2]:[n:3]:[n:4]-[CX4:5]	1	1	B
73	[CX4:0](-[CX4:1])(-[CX4:2])-[NH2:3]	3	3	B
74	"[CX3:0]=[NX2:1]-[CX4,SX4:2]"	1	1	B
75	[c:0]-[NH2:1]	1	1	B
76	"[!OX1:0][C,c:1]-[NX3:2](-[c:3])-[H:4]"	2	2	B
77	"[C,c:0]-[NX2:1]=[c:2]:[nX3:3]-[H:4]"	1	1	B
78	[nX2:0](:[c:1]):[nX3:2]-[c:3]	0	0	B
79	[c:0]=[NX2:1]-[H:2]	1	1	B
80	[c:0]:[nX2:1]:[nX2:2]:[nX3:3](-[H:4]):[nX2:5]	1	1	B
81	[OX1:0]=[CX3:1]-[C:2]-[NH2:3]	3	3	B
82	"[C:0]=[N:1]-[N:2]=[C:3](-[NH2:4])-[S,O,P:5]"	2	2	B
83	[nH1:0]:[c:1]:[nX2H0:2]:[nX2H0:3]:[cX3:4]:[cX3:5]	"2,3"	"2,3"	B
84	[cX3:0]:[nX2H0:1]:[nX2H0:2]:[cX3:3]:[sX2H0:4]	"1,2"	"1,2"	B
85	[cX3:0]:[cX3:1]:[nX2H0:2]:[nX2H0:3]:[cX3:4]:[cX3:5]:[cX3:6]:[nX3:7]:[cX3:8]	"2,3"	"2,3"	B
86	[NX3H0:0]-[CX3:1]=[NX2H0:2]-[NX2H0:3]=[CX3:4]	2	2	B
87	[CX3:0]=[NX2H0:1]-[NX3H1:2]-[CX4:3]	"1,2"	"1,2"	B
88	[CX3:0](=[OX1:1])-[CX4:2]-[NX3:3](-[H:4])-[cX3:5]	3	3	B
89	[CX3:0](=[OX1:1])-[CX4:2]-[NX3H1:3](-[H:4])-[CX3:5]=[NX2H0:6]	6	6	B
90	[C:0]-[NH:1]-[NH:2]-[C:3]=[O:4]	1	1	B
91	[C:0]=[NX2:1]-[OX2:2]	1	1	B
92	[PX4:0](=[OX1:1])(-[NH2:2])(-[NH1:3])	"2,3"	"2,3"	B
93	[c:0]:[nX2H0:1]:[nX2H0:2]:[cX3:3]:[nX3:4]-[NX3:5]	"1,2"	"1,2"	B
94	[c:0]:[nX2:1]:[nX3:2]:[cX3:3]:[cX3:4]	1	1	B
95	[C:0]=[NX2:1]-[C:2]	1	1	B
96	[PX4:0](-[NH1:1])=[OX1:2]	1	1	B
97	[CX4:0]-[CX4:1]-[NH2:2]	2	2	B
98	[c:0]=[NX2:1]	1	1	B
99	[PX4:0]-[NX3H0:1]	1	1	B
100	[C:0]-[NX3:1]-[C:2](=[SX1:3])-[NX3:4]-[C:5]	3	3	B
101	[OX2:0]-[C:1](=[OX1:2])-[NX3:3]-[NX3:4]	4	4	B
102	[c:0]-[NX2:1]=[C:2]	1	1	B
103	"[c,S:0]-[C:1]-[NH2:2]"	2	2	B
104	[NX3:0]-[OX2:1]-[H:2]	0	0	B
105	[c:0]:[n:1]:[n:2]:[c:3]:[nX3:4]-[c:5]	"1,2"	"1,2"	B
106	[C:0]-[C:1]-[NH2:2]	2	2	B
107	[S:0]-[NH1:1]-[C:2]	1	1	B
108	[c:0]-[NX3:1](-[H:2])-[c:3]	1	1	B
109	[C:0]=[NX2:1]-[NX2:2]=[C:3]-[NH2:4]	2	2	B
110	[C:0]-[C:1]-[C:2]=[NX2H0:3]-[NX3H0:4]	"3,4"	"3,4"	B
111	[c:0]-[NX3H1:1]-[C:2]-[C:3]=[C:4]-[c:5]	1	1	B
112	[NX3:0]-[C:1](=[S:2])-[NX3:3]	2	2	B
113	[c:0]:[nH0:1]:[nH0:2]:[c:3]:[c:4]:[c:5]	"1,2"	"1,2"	B
114	[c:0]:[c:1]-[nX3H1:2]-[C:3]-[C:4]=[C:5]	2	2	B
115	[C:0]=[C:1]-[NX3H0:2](-[C:3]-[C:4])(-[C:5]-[C:6])	2	2	B
116	[nX3:0]:[c:1]:[nX2:2]:[nX2:3]:[c:4]	"2,3"	"2,3"	B
117	[n:0]-[NX3H2:1]	1	1	B
118	[nX3H1:0]:[c:1]:[c:2]:[c:3](=[O:4]):[c:5]:[c:6]	4	4	B
119	[C:0]-[NX3H1:1]-[NX3H2:2]	"1,2"	"1,2"	B
120	[OX2:0]-[C:1]-[NX3H2:2]	2	2	B
121	[c:0]:[nX2H0:1]:[nX2H0:2]:[nX3H0:3]:[c:4]	1	1	B
122	[SX4:0](=[O:1])(=[O:2])-[NX3H2:3]	3	3	B
123	[NX3H0:0](-[C;!CSX1:1])(-[C;!CSX1:2])-[C;!CSX1:3]	0	0	B
124	[c:0]:[c:1]:[c:2]:[c:3](-[OH:4]):[nX3H1+0:5]	5	5	B
125	[C:0]-[C:1]-[NX3H0:2]-[OX2:3]-[C:4]	2	2	B
126	[c:0]:[c:1]-[NX3H1:2]-[C:3]-[C:4]-[C:5]-[c:6]	2	2	B
127	[C:0](=[NX2H1:1])(-[C:2])-[C:3]	1	1	B
128	"[C,c:0]-[NX2H0:1]=[NX2H0:2]-[NX3:3]"	3	3	B
129	[c:0]:[c:1]:[c:2]:[c:3]:[nX3:4]-[cX3:5]	4	4	B
130	[nX2H0:0]:[nX2H0:1]:[nX2H0:2]:[nX3H0:3]:[c:4]:[c:5]	0	0	B
